"Dual role of RASSF1 as a tumor suppressor and an oncogene in neuroendocrine tumors of the lung. BACKGROUND: Little is known about the dual role of RAS-association domain family 1 (RASSF1) gene at 3p21.3 in neuroendocrine tumors (NET) of the lung. MATERIALS AND METHODS: Twenty typical carcinoids (TC), 11 atypical carcinoids (ATC), 11 large cell neuroendocrine carcinomas (LCNEC) and 16 small cell lung carcinomas (SCLC) were analyzed for RASSF1 promoter methylation, mRNA and protein expression, and loss of 3p21.3 locus. RESULTS: Promoter 1 was hypermethylated in NET but not in paired non-neoplastic lung tissues nor in 20 control NSCLC, with the degree of hypermethylation paralleling tumor grade. RASSF1 A/E isoform mRNA but not protein expression was lost in most NET compared to NSCLC or non-neoplastic tissues. The relationship between methylation level and mRNA or protein loss varied by NET type, with significant correlation for decreasing RASSF1 A protein in ACT, and marginal correlation for down-regulated RASSF 1 A/E mRNA in TC, this suggesting a non linear regulation by methylation in NET. No promoter 2 methylation was detected in NET; however, up-regulation of its RASSF1 C transcript emerged as an adverse prognostic factor in the LCNEC/SCLC group. A correlation was found between 3p21.3 allelic loss and decrease of RASSF1 A/E mRNA (p=0.023) and protein (p=0.043) expression in ATC, suggesting that 3p21.3 allelic loss contributed to the loss of gene expression. CONCLUSION: RASSF1 A/E is likely to act as a tumor suppressor gene in most pulmonary NET, and RASSF1 C as an oncogene in high-grade tumors.",cancer
"Synchronous rectal adenocarcinoma and bilateral clear cell renal carcinoma. A 69-year-old man was admitted for resection of rectal adenocarcinoma diagnosed by colonoscopy. Preoperative computed tomography scan and abdominal ultrasonography revealed bilateral renal tumors measuring up to 2 and 2.8 cm in largest diameter, respectively. The patient underwent partial colectomy and bilateral partial nephrectomy. Microscopically, rectal adenocarcinoma penetrated the submucosa, without invasion of the muscularis propria. Both renal tumors were clear cell renal carcinomas of Fuhrmann nuclear grade 2. To our knowledge, this is the first case of synchronous adenocarcinoma of the rectum and bilateral clear cell renal cell carcinoma described in the literature to date.",cancer
"Czech National Cancer Screening Programmes in 2010. BACKGROUNDS: All three cancer screening programmes recommended by the Council of the EU are available to defined target age groups in the Czech Republic. Organized programmes for screening of breast, colorectal and cervical cancer have been initiated in the last decade. MATERIALS AND METHODS: A system for information support, as an essential component of organized screening programmes, has been implemented in all screening programmes. It comprises the Czech National Cancer Registry to monitor the cancer burden and population impact of the programmes, the National Reference Centre as a provider of nationwide insurance claims data, and the specialised databases of all three programmes, which collect information on screening, diagnostics and final diagnoses. RESULTS: Early diagnostics of malignant neoplasms and progress in therapy have helped to stabilize mortality, even in diagnoses with increasing incidence. The coverage of the Czech screening programmes has constantly been rising; however, it is still insufficient: 51.2%, 17.9% and 48.4% of the target population was covered at the end of 2008 in breast, colorectal and cervical screening programmes, respectively. In 2008, a total of 468,419 women underwent screening mammography and 2,128 tumours were detected (4.5 per 1,000 screened). According to the screening colonoscopy registry, more than 13,000 men and women underwent preventive colonoscopy in 2009, 4,085 patients were diagnosed with adenoma and 619 with colorectal cancer, mostly in the early stages. The information system for cervical screening was implemented in 2009 and has been running in pilot mode; the first results are expected at the end of 2010. CONCLUSION: The system for information support within organised cancer screening programmes enables monitoring of the performance of screening and diagnostic centres and thus helps to maintain continuous quality improvements, which are a necessary presumption for replicating the promising results of clinical trials. To achieve a substantial impact on population incidence and mortality, a large increase in test coverage in target populations will be necessary. The programmes should be transformed to a population-based form, which involves inviting all people in the target population to be screened.",cancer
"Surgical management of giant pediatric craniopharyngiomas. OBJECT: Prior work by the authors' group and reports of other authors suggest worse functional outcomes and decreased survival in children with larger craniopharyngiomas. The purpose of this study was to assess the oncological, endocrinological, and functional outcomes in children who underwent radical resection of giant craniopharyngiomas (defined as 5 cm or greater in largest diameter). METHODS: Between 1986 and 2006, 26 children under the age of 18 (14 boys, 12 girls; mean age 10.5 years) underwent radical resection of giant craniopharyngiomas performed by the senior author. Data were retrospectively collected to assess the outcome of surgical treatment. RESULTS: Twenty (77%) of 26 patients underwent gross-total resection (GTR) confirmed by intraoperative inspection and postoperative imaging. All primary tumors (17 of 17) and 3 (33%) of 9 recurrent tumors were treated with GTR. There was no operative mortality, and 18 of 26 patients (69%) were alive at a mean follow-up of 8.9 years (median 9.3 years). Disease control was achieved in 21 (84%) of the 25 patients followed up for more than 6 months and was more successful in patients who underwent GTR (95%) than in those who underwent STR (50%, p = 0.03). New-onset diabetes insipidus (DI) occurred in 63.2% of patients (73% of patients had DI postoperatively). New or worsened deficits in visual acuity and visual fields occurred in 16% and 28%, respectively, of the 25 patients for whom postoperative visual data were available. Five patients (19%) experienced significant, permanent neurological deficits, and 5 (19%) had mild to moderate deficits. New or worsened hypothalamic disturbance occurred in 35% and 22% of patients, respectively, but obesity developed in only 15%. CONCLUSIONS: In this retrospective series, radical resection of giant craniopharyngiomas in children was found to lead to excellent rates of disease control with acceptable or good functional outcomes but slightly higher rates of neurological complications compared with rates in patients with smaller tumors. Radical resection is less successful in recurrent tumors that reach very large sizes, especially previously irradiated tumors, with resultant diminished survival.",cancer
"The effectiveness of transverse coloplasty in patients with ultra-lower rectal cancer. Rectal cancer accounts for 40% of colon cancer, and postoperative defecatory function is considered to markedly affect the patients' quality of life. We performed transverse coloplasty in 33 patients with rectal cancer who had undergone an anal function preservation operation in which the anastomotic site was within 1 cm of the dentate line (ultra-low anterior resection) and evaluated its effectiveness in controlling the patients' defecatory function. The average daily defecation frequency 1, 6, and 12 months postoperatively was 7.8, 5, and 3.6 times daily following straight colorectal reconstruction (the anastomotic site was more than 5 cm from the dentate line) and 7.5, 3.5, and 2.4 times daily following transverse coloplasty, respectively. Concerning postoperative complications, anastomotic leakage, soiling, and constipation were observed in 1, 1, and 1 cases, respectively. Transverse coloplasty can be performed in a short time, and it is considered a safe and useful method to manage defecatory",cancer
Weight loss surgery for obesity. An evidence-based alternative to conventional treatment.,nocancer
"Diagnosis and management of patients with COPD in primary care. This article discusses the diagnosis and management of chronic obstructive pulmonary disease in primary care, in the light of recent updates to national guidelines. It describes the use of spirometry, differential diagnosis, treatment options such as pharmacological management, oxygen therapy, pulmonary rehabilitation and the management of exacerbations.",nocancer
"Predicting hematologic toxicity in patients undergoing radioimmunotherapy with 90Y-ibritumomab tiuxetan or 131I-tositumomab. This study aimed at identifying clinical factors for predicting hematologic toxicity after radioimmunotherapy with (90)Y-ibritumomab tiuxetan or (131)I-tositumomab in clinical practice. METHODS: Hematologic data were available from 14 non-Hodgkin lymphoma patients treated with (90)Y-ibritumomab tiuxetan and 18 who received (131)I-tositumomab. The percentage baseline at nadir and 4 wk post nadir and the time to nadir were selected as the toxicity indicators for both platelets and neutrophils. Multiple linear regression analysis was performed to identify significant predictors (P < 0.05) of each indicator. RESULTS: For both platelets and neutrophils, pooled and separate analyses of (90)Y-ibritumomab tiuxetan and (131)I-tositumomab data yielded the time elapsed since the last chemotherapy as the only significant predictor of the percentage baseline at nadir. The extent of bone marrow involvement was not a significant factor in this study, possibly because of the short time elapsed since the last chemotherapy of the 7 patients with bone marrow involvement. Because both treatments were designed to deliver a comparable bone marrow dose, this factor also was not significant. None of the 14 factors considered was predictive of the time to nadir. The R(2) value for the model predicting percentage baseline at nadir was 0.60 for platelets and 0.40 for neutrophils. This model predicted the platelet and neutrophil toxicity grade to within +/-1 for 28 and 30 of the 32 patients, respectively. For the 7 patients predicted with grade I thrombocytopenia, 6 of whom had actual grade I-II, dosing might be increased to improve treatment efficacy. CONCLUSION: The elapsed time since the last chemotherapy can be used to predict hematologic toxicity and customize the current dosing method in radioimmunotherapy.",cancer
"Neuropathic pain: clinical features, assessment and treatment. This article, the sixth in a series on pain, aims to provide nurses with information about neuropathic pain, its causes, clinical presentation and treatment approaches, to assist in the management of patients with this condition. Neuropathic pain is a significant clinical problem. As a chronic condition it can cause distress and disability. It is important that symptoms are recognised promptly and appropriate treatments offered in a timely fashion to help reduce the burden of neuropathic pain and improve patients' quality of life. Nurses can play an important role in this process as they are often involved in pain assessment and can help to identify patients who may require neuropathic pain interventions.",nocancer
"Continuous positive airway pressure as treatment for systemic hypertension in people with obstructive sleep apnoea: randomised controlled trial. OBJECTIVE: To assess the effect of continuous positive airway pressure (CPAP) on 24 hour ambulatory blood pressure monitoring values in a large number of patients with untreated systemic hypertension of new onset and obstructive sleep apnoea. DESIGN: Multicentre, double blind, randomised, placebo controlled trial. SETTING: Eleven general hospitals in Spain between 2004 and 2007. PARTICIPANTS: 340 patients recently diagnosed as having systemic hypertension by a general practitioner (systolic blood pressure >/=140 mm Hg, diastolic blood pressure >/=90 mm Hg, or both) and an apnoea-hypopnoea index per hour of sleep of >15 events/hour. INTERVENTION: Patients were assigned to CPAP (n=169) or sham CPAP (n=171) for three months. Main outcome measurements Net changes in the different 24 hour ambulatory blood pressure monitoring values from baseline to three months of optimal or sham CPAP. RESULTS: 277 (81%) of the 340 patients randomised were men; the patients had a mean age of 52.4 (SD 10.5) years, a body mass index of 31.9 (5.7), an Epworth sleepiness scale score of 10.1 (4.3), an apnoea-hypopnoea index of 43.5 (24.5). No differences between groups were seen at baseline. Compared with placebo and analysed by intention to treat, the mean 24 hour ambulatory blood pressure of the CPAP group decreased by 1.5 (95% confidence interval: 0.4 to 2.7) mm Hg (P=0.01). The mean 24 hour ambulatory blood pressure monitoring measures decreased by 2.1 mm Hg (0.4 to 3.7) mm Hg (P=0.01) for systolic pressure and 1.3 (0.2 to 2.3) mm Hg (P=0.02) for diastolic blood pressure. Mean nocturnal blood pressure decreased by 2.1 (0.5 to 3.6) mm Hg (P=0.01). CONCLUSIONS: CPAP produced a statistically significant reduction in blood pressure in patients with systemic hypertension and obstructive sleep apnoea. This reduction is small and did not achieve the 3 mm Hg drop in mean 24 hour ambulatory blood pressure that the trial was powered to detect. Consequently, these results may have uncertain clinical relevance. However, taking into account the prevalence of hypertension and the likelihood of comorbidities, the decrease in blood pressure, although minimal, may be beneficial. TRIAL REGISTRATION: Clinical trials NCT00202527.",nocancer
